u,i,ts,label,idx
102,1121,874724710.0,1,1
102,1233,874724727.0,1,2
102,1097,874724754.0,1,3
102,1305,874724781.0,1,4
102,1265,874724843.0,1,5
102,1676,874724882.0,1,6
102,1950,874724882.0,1,7
102,1004,874724905.0,1,8
102,1915,874724937.0,1,9
102,1084,874724988.0,1,10
102,1057,874725081.0,1,11
102,1080,874725120.0,1,12
102,1998,874725264.0,1,13
102,1255,874725386.0,1,14
102,1291,874725485.0,1,15
102,1184,874725485.0,1,16
846,1675,874728168.0,1,17
846,1434,874728338.0,1,18
846,1350,874728338.0,1,19
846,1390,874728370.0,1,20
846,1799,874728396.0,1,21
846,1725,874728396.0,1,22
846,1651,874728430.0,1,23
846,1396,874728461.0,1,24
846,1347,874728565.0,1,25
846,1360,874728598.0,1,26
706,1120,874729682.0,1,27
706,2080,874729682.0,1,28
706,1562,874729749.0,1,29
706,1252,874729750.0,1,30
706,1368,874729750.0,1,31
706,1301,874729750.0,1,32
706,1058,874729778.0,1,33
706,1156,874729778.0,1,34
706,1264,874729816.0,1,35
706,1235,874729816.0,1,36
706,1100,874729850.0,1,37
706,1760,874729850.0,1,38
706,1662,874729850.0,1,39
706,1046,874729850.0,1,40
706,996,874729901.0,1,41
706,1265,874729901.0,1,42
706,1105,874729901.0,1,43
706,1035,874729935.0,1,44
706,1237,874729935.0,1,45
706,1379,874729935.0,1,46
706,1462,874729935.0,1,47
706,973,874729935.0,1,48
706,1678,874729935.0,1,49
706,1001,874729960.0,1,50
706,1382,874729995.0,1,51
706,1424,874729995.0,1,52
706,1045,874729995.0,1,53
706,964,874729996.0,1,54
706,1356,874729996.0,1,55
706,1397,874729996.0,1,56
706,1175,874730031.0,1,57
706,1188,874730031.0,1,58
706,1123,874730031.0,1,59
706,1113,874730031.0,1,60
706,994,874730056.0,1,61
706,1151,874730085.0,1,62
706,1135,874730085.0,1,63
706,1243,874730085.0,1,64
706,1056,874730085.0,1,65
706,2147,874730155.0,1,66
706,1089,874730155.0,1,67
706,977,874730155.0,1,68
706,2474,874730155.0,1,69
706,991,874730179.0,1,70
706,959,874730206.0,1,71
706,2239,874730206.0,1,72
706,1273,874730206.0,1,73
706,1409,874730234.0,1,74
706,1520,874730234.0,1,75
706,1302,874730234.0,1,76
706,1079,874730234.0,1,77
706,2062,874730235.0,1,78
706,1493,874730261.0,1,79
706,1785,874730261.0,1,80
706,1253,874730261.0,1,81
706,1126,874730261.0,1,82
